CAMERA TYPE,CAMERA LOCATION CODE,LOCATION DESCRIPTION,Location
FIXED ONLY SPEED CAMERA,1027,BARTON HIGHWAY BETWEEN GUNGAHLIN DRIVE AND ELLENBOROUGH STREET,"(-35.2281, 149.12348)"
MOBILE SPEED CAMERA,0105A,"60 Stonehaven Cres, Deakin ACT 2600, Australia","(-35.31894, 149.1062)"
MOBILE SPEED CAMERA,0051B,"78 La Perouse St, Griffith ACT 2603, Australia","(-35.33072, 149.13313)"
MOBILE SPEED CAMERA,0069F,"Erindale Dr, Monash ACT 2904, Australia","(-35.40652, 149.09676)"
MOBILE SPEED CAMERA,3005A,"120 Murranji St, Hawker ACT 2614, Australia","(-35.247255, 149.040058)"
MOBILE SPEED CAMERA,0015J,"Kingsford Smith Dr, Scullin ACT 2614, Australia","(-35.23623, 149.0329)"
RED LIGHT AND SPEED CAMERA,1008,HINDMARSH DRIVE/TUGGERANONG PARKWAY,"(-35.3483, 149.068284)"
MOBILE SPEED CAMERA,0045C,"184 Dryandra St, O'Connor ACT 2602, Australia","(-35.2529, 149.11241)"
MOBILE SPEED CAMERA,0060B,"94 Phillip Ave, Downer ACT 2602, Australia","(-35.2428, 149.15158)"
MOBILE SPEED CAMERA,0153A,"39 Warragamba Ave, Duffy ACT 2611, Australia","(-35.33058, 149.03504)"
MOBILE SPEED CAMERA,0061T,"Barton Hwy, Hall ACT 2618, Australia","(-35.169802, 149.059979)"
MOBILE SPEED CAMERA,0116A,"Ashley Dr, Monash ACT 2904, Australia","(-35.41128, 149.10281)"
MOBILE SPEED CAMERA,0063F,"Hindmarsh Dr, Symonston ACT 2609, Australia","(-35.34612, 149.11789)"
MOBILE SPEED CAMERA,0090E,"878 Majura Rd, Pialligo ACT 2609, Australia","(-35.28294, 149.19359)"
MOBILE SPEED CAMERA,0093D,"Southern Cross Dr, Florey ACT 2615, Australia","(-35.22865, 149.03947)"
MOBILE SPEED CAMERA,0033A,"15 Gladstone St, Hall ACT 2618, Australia","(-35.17099, 149.07112)"
MOBILE SPEED CAMERA,0123C,"119 Drake-Brockman Dr, Australian Capital Territory 2617, Australia","(-35.23571, 149.02298)"
MOBILE SPEED CAMERA,0065D,"Barry Dr, O'Connor ACT 2602, Australia","(-35.26333, 149.11061)"
MOBILE SPEED CAMERA,0166A,"196-198 Beasley St, Farrer ACT 2607, Australia","(-35.37195, 149.09732)"
MOBILE SPEED CAMERA,0068C,"Erindale Dr, Canberra ACT 2901, Australia","(-35.38788, 149.11464)"
MOBILE SPEED CAMERA,3028A,"29 Ashburton Circuit, Kaleen ACT 2617, Australia","(-35.225133, 149.114669)"
MOBILE SPEED CAMERA,0076C,"77 Yamba Dr, Garran ACT 2605, Australia","(-35.34564, 149.09919)"
MOBILE SPEED CAMERA,0002L,"309 Antill St, Watson ACT 2602, Australia","(-35.24106, 149.16362)"
MOBILE SPEED CAMERA,0176A,"73-75 Hurley St, Mawson ACT 2607, Australia","(-35.36184, 149.094)"
MOBILE SPEED CAMERA,0074A,"662 Mugga Ln, Canberra ACT 2901, Australia","(-35.39228, 149.13891)"
MOBILE SPEED CAMERA,0063F,"Hindmarsh Dr, Garran ACT 2605, Australia","(-35.34594, 149.11741)"
MOBILE SPEED CAMERA,0047B,"98 Chuculba Cres, Giralang ACT 2617, Australia","(-35.21034, 149.10026)"
MOBILE SPEED CAMERA,0065F,"Athllon Dr, Wanniassa ACT 2903, Australia","(-35.3957, 149.07418)"
MOBILE SPEED CAMERA,0156D,"Streeton Dr, Holder ACT 2611, Australia","(-35.33711, 149.05166)"
MOBILE SPEED CAMERA,0037B,"32 Namatjira Dr, Stirling ACT 2611, Australia","(-35.34856, 149.05683)"
MOBILE SPEED CAMERA,0002B,"97 Antill St, Downer ACT 2602, Australia","(-35.24881, 149.14293)"
MOBILE SPEED CAMERA,0175A,"115 Sternberg Cres, Wanniassa ACT 2903, Australia","(-35.40304, 149.09143)"
MOBILE SPEED CAMERA,0093B,"Southern Cross Dr, Florey ACT 2615, Australia","(-35.23231, 149.04994)"
MOBILE SPEED CAMERA,0004R,"Belconnen Way, Belconnen ACT 2617, Australia","(-35.24518, 149.06134)"
MOBILE SPEED CAMERA,0130A,"63 Chewings St, Scullin ACT 2614, Australia","(-35.23493, 149.04549)"
MOBILE SPEED CAMERA,0120A,"137 Kalgoorlie Cres, Fisher ACT 2611, Australia","(-35.35774, 149.05355)"
MOBILE SPEED CAMERA,0004D,"Belconnen Way, Bruce ACT 2617, Australia","(-35.25975, 149.09446)"
MOBILE SPEED CAMERA,0080A,"Kings Ave, Parkes ACT 2600, Australia","(-35.30015, 149.14504)"
MOBILE SPEED CAMERA,0227D,"76 Hoskins St, Mitchell ACT 2911, Australia","(-35.211321, 149.138251)"
MOBILE SPEED CAMERA,0018E,"150 Melrose Dr, Phillip ACT 2606, Australia","(-35.35486, 149.08631)"
MOBILE SPEED CAMERA,0048C,"Livingston Ave, Kambah ACT 2902, Australia","(-35.38495, 149.08557)"
MOBILE SPEED CAMERA,0196E,"87 Anthony Rolfe Ave, Gungahlin ACT 2912, Australia","(-35.18359, 149.13647)"
MOBILE SPEED CAMERA,0063C,"Hindmarsh Dr, Symonston ACT 2609, Australia","(-35.3465, 149.10891)"
MOBILE SPEED CAMERA,0021D,"Rubbish Tip, 499 Mugga Ln, Jerrabomberra NSW 2619, Australia","(-35.38006, 149.13492)"
MOBILE SPEED CAMERA,0065C,"Barry Dr, Canberra ACT 2601, Australia","(-35.27442, 149.12357)"
MOBILE SPEED CAMERA,0048B,"47 Livingston Ave, Kambah ACT 2902, Australia","(-35.38785, 149.08248)"
MOBILE SPEED CAMERA,0004U,"Belconnen Way, Bruce ACT 2617, Australia","(-35.25219, 149.08217)"
MOBILE SPEED CAMERA,0066G,"Ginninderra Dr, Florey ACT 2615, Australia","(-35.21903, 149.04717)"
MOBILE SPEED CAMERA,3008B,"88 Kosciuszko Ave, Palmerston ACT 2913, Australia","(-35.197898, 149.119858)"
MOBILE SPEED CAMERA,0255B,"39 Mouat St, Lyneham ACT 2602, Australia","(-35.247882, 149.129773)"
MOBILE SPEED CAMERA,0079B,"Bonshaw, 722 Canberra Ave, Jerrabomberra NSW 2619, Australia","(-35.34268, 149.19027)"
MOBILE SPEED CAMERA,0050B,"41 Darwinia Terrace, Rivett ACT 2611, Australia","(-35.34865, 149.02904)"
MOBILE SPEED CAMERA,0180C,"69 Spalding St, Flynn ACT 2615, Australia","(-35.19942, 149.045671)"
MOBILE SPEED CAMERA,0116F,"Ashley Dr, Isabella Plains ACT 2905, Australia","(-35.43014, 149.10525)"
MOBILE SPEED CAMERA,0089C,"Depot, 917 Federal Hwy, Australian Capital Territory 2912, Australia","(-35.216731, 149.182986)"
MOBILE SPEED CAMERA,0176B,"64 Hurley St, Mawson ACT 2607, Australia","(-35.36042, 149.0938)"
MOBILE SPEED CAMERA,0063B,"Hindmarsh Dr, Symonston ACT 2609, Australia","(-35.34523, 149.11549)"
MOBILE SPEED CAMERA,0018G,"Melrose Dr, Phillip ACT 2606, Australia","(-35.34304, 149.08248)"
MOBILE SPEED CAMERA,0084E,"357 Gundaroo Dr, Gungahlin ACT 2912, Australia","(-35.18048, 149.1371)"
MOBILE SPEED CAMERA,0112A,"138 Copland Dr, Evatt ACT 2617, Australia","(-35.20669, 149.06827)"
MOBILE SPEED CAMERA,0164A,"71 Barr Smith Ave, Bonython ACT 2905, Australia","(-35.43211, 149.07626)"
MOBILE SPEED CAMERA,0136B,"60 McInnes St, Weston ACT 2611, Australia","(-35.34303, 149.05884)"
MOBILE SPEED CAMERA,0023G,"Parkes Way, Acton ACT 2601, Australia","(-35.28308, 149.10693)"
MOBILE SPEED CAMERA,0027D,"Yarra Glen, Hughes ACT 2605, Australia","(-35.3297, 149.08623)"
MOBILE SPEED CAMERA,0243A,"Majura Parkway, Canberra ACT 2609, Australia","(-35.21754, 149.195208)"
MOBILE SPEED CAMERA,0016H,"Atsic Culture Centre, 245 Lady Denman Dr, Australian Capital Territory 2600, Australia","(-35.28557, 149.09073)"
MOBILE SPEED CAMERA,0108A,"30 Spofforth St, Holt ACT 2615, Australia","(-35.22679, 149.00589)"
MOBILE SPEED CAMERA,0266A,"Ainsworth St, Mawson ACT 2607, Australia","(-35.352938, 149.094731)"
MOBILE SPEED CAMERA,0142G,"600 Sutton Rd, Australian Capital Territory, Australia","(-35.31139, 149.24752)"
MOBILE SPEED CAMERA,0115A,"Isabella Dr, Gilmore ACT 2905, Australia","(-35.40978, 149.13481)"
MOBILE SPEED CAMERA,0190A,"37 Duggan St, Calwell ACT 2905, Australia","(-35.43963, 149.0984)"
MOBILE SPEED CAMERA,0036C,"177 Badimara St, Fisher ACT 2611, Australia","(-35.35838, 149.0579)"
MOBILE SPEED CAMERA,0118D,"Tharwa Dr, Gordon ACT 2906, Australia","(-35.47049, 149.09092)"
MOBILE SPEED CAMERA,0186F,"48 Athllon Dr, Greenway ACT 2900, Australia","(-35.42254, 149.06776)"
MOBILE SPEED CAMERA,0085B,"Gundaroo Dr, Crace ACT 2911, Australia","(-35.197, 149.10525)"
MOBILE SPEED CAMERA,0030B,"Taverner St, Wanniassa ACT 2903, Australia","(-35.40836, 149.08405)"
MOBILE SPEED CAMERA,0157B,"78 Streeton Dr, Rivett ACT 2611, Australia","(-35.3486, 149.04392)"
MOBILE SPEED CAMERA,0119G,"Horse Park Dr, Gungahlin ACT 2912, Australia","(-35.1819, 149.14841)"
MOBILE SPEED CAMERA,0013A,"Hindmarsh Dr, Symonston ACT 2609, Australia","(-35.34417, 149.15038)"
MOBILE SPEED CAMERA,0061M,"Radio Station, 808 Barton Hwy, Canberra ACT 2912, Australia","(-35.21824, 149.11789)"
MOBILE SPEED CAMERA,0196D,"Anthony Rolfe Ave, Gungahlin ACT 2912, Australia","(-35.18278, 149.13012)"
MOBILE SPEED CAMERA,0229A,"Clarrie Hermes Dr, Casey ACT 2913, Australia","(-35.177975, 149.088232)"
MOBILE SPEED CAMERA,3029A,"83 Alberga St, Kaleen ACT 2617, Australia","(-35.235253, 149.102219)"
MOBILE SPEED CAMERA,0004E,"Belconnen Way, Bruce ACT 2617, Australia","(-35.25547, 149.08744)"
MOBILE SPEED CAMERA,0033B,"1 Gladstone St, Hall ACT 2618, Australia","(-35.17285, 149.06685)"
MOBILE SPEED CAMERA,0051A,"7-9 La Perouse St, Griffith ACT 2603, Australia","(-35.32293, 149.13058)"
MOBILE SPEED CAMERA,0037E,"217 Namatjira Dr, Fisher ACT 2611, Australia","(-35.36407, 149.05005)"
MOBILE SPEED CAMERA,0010A,"Ginninderra Dr, Flynn ACT 2615, Australia","(-35.20891, 149.03699)"
MOBILE SPEED CAMERA,0035C,"2 Mugga Way, Red Hill ACT 2603, Australia","(-35.32089, 149.11619)"
MOBILE SPEED CAMERA,0106C,"163 William Webb Dr, McKellar ACT 2617, Australia","(-35.21937, 149.06947)"
MOBILE SPEED CAMERA,0089E,"Depot, 917 Federal Hwy, Australian Capital Territory 2912, Australia","(-35.212912, 149.188416)"
MOBILE SPEED CAMERA,0096D,"Coulter Dr, Australian Capital Territory 2615, Australia","(-35.26332, 149.05582)"
MOBILE SPEED CAMERA,0157C,"95 Tom Roberts Ave, Conder ACT 2906, Australia","(-35.46597, 149.10589)"
MOBILE SPEED CAMERA,0069D,"Erindale Dr, Monash ACT 2904, Australia","(-35.40758, 149.08991)"
MOBILE SPEED CAMERA,3059A,"219 Heagney Cres, Gilmore ACT 2905, Australia","(-35.419625, 149.13598)"
MOBILE SPEED CAMERA,0063A,"Hindmarsh Dr, Phillip ACT 2606, Australia","(-35.34944, 149.09628)"
MOBILE SPEED CAMERA,0202B,"Anzac Parade, Reid ACT 2612, Australia","(-35.28627, 149.14368)"
MOBILE SPEED CAMERA,0226B,"159 Langtree Cres, Crace ACT 2911, Australia","(-35.20542, 149.110131)"
MOBILE SPEED CAMERA,0195A,"39 McCormack St, Curtin ACT 2605, Australia","(-35.32938, 149.0734)"
MOBILE SPEED CAMERA,0182D,"34 Outtrim Ave, Calwell ACT 2905, Australia","(-35.43574, 149.09911)"
MOBILE SPEED CAMERA,0014E,"Hindmarsh Dr, Chifley ACT 2606, Australia","(-35.34785, 149.0795)"
MOBILE SPEED CAMERA,0102F,"Fairbairn Ave, Campbell ACT 2612, Australia","(-35.28378, 149.15932)"
MOBILE SPEED CAMERA,0223A,"190 Kosciuszko Ave, Palmerston ACT 2913, Australia","(-35.190768, 149.11755)"
MOBILE SPEED CAMERA,0029C,"199 Owen Dixon Dr, Spence ACT 2615, Australia","(-35.19584, 149.06928)"
MOBILE SPEED CAMERA,0020U,"10423 Monaro Hwy, Symonston ACT 2609, Australia","(-35.36401, 149.16671)"
MOBILE SPEED CAMERA,3050A,"135 Oodgeroo Ave, Franklin ACT 2913, Australia","(-35.196955, 149.145502)"
MOBILE SPEED CAMERA,0038B,"95-97 Empire Circuit, Deakin ACT 2600, Australia","(-35.31388, 149.11409)"
MOBILE SPEED CAMERA,0170C,"11 Giles St, Griffith ACT 2603, Australia","(-35.31818, 149.13796)"
MOBILE SPEED CAMERA,0015A,"225 Kingsford Smith Dr, Spence ACT 2615, Australia","(-35.19815, 149.06083)"
MOBILE SPEED CAMERA,0027B,"Yamba Dr, Mawson ACT 2607, Australia","(-35.36377, 149.106)"
MOBILE SPEED CAMERA,0221A,"50 Essie Coffey St, Bonner ACT 2914, Australia","(-35.153679, 149.143521)"
MOBILE SPEED CAMERA,0055C,"Athllon Dr, Torrens ACT 2607, Australia","(-35.36971, 149.09287)"
MOBILE SPEED CAMERA,0211A,"74 Lachlan St, Macquarie ACT 2614, Australia","(-35.24895, 149.06172)"
MOBILE SPEED CAMERA,0245B,"Arscott House, 35 Aikman Dr, Belconnen ACT 2617, Australia","(-35.237188, 149.077151)"
MOBILE SPEED CAMERA,0050C,"17 Darwinia Terrace, Rivett ACT 2611, Australia","(-35.34605, 149.02854)"
MOBILE SPEED CAMERA,0160C,"State Cir, Barton ACT 2600, Australia","(-35.30987, 149.1292)"
MOBILE SPEED CAMERA,0004L,"Belconnen Way, Belconnen ACT 2617, Australia","(-35.24849, 149.06958)"
MOBILE SPEED CAMERA,0029E,"91 Owen Dixon Dr, Evatt ACT 2617, Australia","(-35.20355, 149.07911)"
MOBILE SPEED CAMERA,0055B,"Athllon Dr, Pearce ACT 2607, Australia","(-35.36087, 149.09204)"
MOBILE SPEED CAMERA,0164B,"95-99 Barr Smith Ave, Bonython ACT 2905, Australia","(-35.42999, 149.07445)"
MOBILE SPEED CAMERA,0199A,"Joynton Smith Dr, Belconnen ACT 2617, Australia","(-35.23344, 149.06246)"
MOBILE SPEED CAMERA,0196A,"276 Anthony Rolfe Ave, Gungahlin ACT 2912, Australia","(-35.1858, 149.14911)"
MOBILE SPEED CAMERA,0116D,"Ashley Dr, Monash ACT 2904, Australia","(-35.4125, 149.10265)"
MOBILE SPEED CAMERA,3060A,"89 Marconi Cres, Kambah ACT 2902, Australia","(-35.377686, 149.064281)"
MOBILE SPEED CAMERA,0267B,"50 Wilkins St, Mawson ACT 2607, Australia","(-35.368492, 149.098549)"
MOBILE SPEED CAMERA,0141A,"14 Sturt Ave, Narrabundah ACT 2604, Australia","(-35.32644, 149.14893)"
MOBILE SPEED CAMERA,0139A,"51 Captain Cook Cres, Griffith ACT 2603, Australia","(-35.32786, 149.13599)"
MOBILE SPEED CAMERA,0152B,"52 Dixon Dr, Holder ACT 2611, Australia","(-35.33625, 149.03723)"
MOBILE SPEED CAMERA,3026A,"75 Box Hill Ave, Conder ACT 2906, Australia","(-35.46098, 149.097771)"
MOBILE SPEED CAMERA,0212A,"21 Bennelong Cres, Macquarie ACT 2614, Australia","(-35.25367, 149.06068)"
MOBILE SPEED CAMERA,0064A,"Kurrumbene, 32 Hindmarsh Dr, Narrabundah ACT 2604, Australia","(-35.34174, 149.15845)"
MOBILE SPEED CAMERA,0074E,"662 Mugga Ln, Canberra ACT 2901, Australia","(-35.39458, 149.14109)"
MOBILE SPEED CAMERA,0080B,"Kings Ave, Parkes ACT 2600, Australia","(-35.300965, 149.143163)"
MOBILE SPEED CAMERA,0095C,"Sulwood Dr, Kambah ACT 2902, Australia","(-35.37926, 149.0745)"
RED LIGHT AND SPEED CAMERA,1022,HINDMARSH DRIVE/BALL STREET,"(-35.34887, 149.085881)"
MOBILE SPEED CAMERA,3001A,"25 Lhotsky St, Charnwood ACT 2615, Australia","(-35.204721, 149.030789)"
MOBILE SPEED CAMERA,0135B,"21 Hilder St, Weston ACT 2611, Australia","(-35.33677, 149.05536)"
MOBILE SPEED CAMERA,0271B,"32 Donaldson St, Braddon ACT 2612, Australia","(-35.274177, 149.139637)"
MOBILE SPEED CAMERA,0112D,"110 Copland Dr, Melba ACT 2615, Australia","(-35.20785, 149.06516)"
MOBILE SPEED CAMERA,0014I,"Hindmarsh Dr, Weston ACT 2611, Australia","(-35.34448, 149.05326)"
MOBILE SPEED CAMERA,0140A,"73 Kootara Cres, Narrabundah ACT 2604, Australia","(-35.33294, 149.15751)"
MOBILE SPEED CAMERA,0011B,"Ginninderra Dr, O'Connor ACT 2602, Australia","(-35.24357, 149.11315)"
MOBILE SPEED CAMERA,0118C,"Tharwa Dr, Gordon ACT 2906, Australia","(-35.46666, 149.09104)"
MOBILE SPEED CAMERA,0179A,"64-66 Dumas St, McKellar ACT 2617, Australia","(-35.22198, 149.07237)"
MOBILE SPEED CAMERA,0251C,"Caswell Dr, Australian Capital Territory 2602, Australia","(-35.27559, 149.08749)"
MOBILE SPEED CAMERA,0178H,"326 Flemington Rd, Gungahlin ACT 2912, Australia","(-35.18741, 149.14624)"
MOBILE SPEED CAMERA,0081B,"William Hovell Dr, Australian Capital Territory 2615, Australia","(-35.27454, 149.06396)"
MOBILE SPEED CAMERA,0115E,"Isabella Dr, Monash ACT 2904, Australia","(-35.42304, 149.0834)"
MOBILE SPEED CAMERA,0259A,"53-67 Plimsoll Dr, Casey ACT 2913, Australia","(-35.167083, 149.095982)"
MOBILE SPEED CAMERA,0205A,"National Portrait Gallery, 35 King Edward Terrace, Parkes ACT 2600, Australia","(-35.29963, 149.13206)"
MOBILE SPEED CAMERA,0126C,"75 Redfern St, Macquarie ACT 2614, Australia","(-35.25589, 149.06429)"
MOBILE SPEED CAMERA,0211B,"96 Lachlan St, Macquarie ACT 2614, Australia","(-35.24772, 149.0602)"
MOBILE SPEED CAMERA,0171H,"11 Wentworth Ave, Kingston ACT 2604, Australia","(-35.31202, 149.14274)"
MOBILE SPEED CAMERA,0164D,"110 Barr Smith Ave, Bonython ACT 2905, Australia","(-35.42816, 149.07471)"
MOBILE SPEED CAMERA,0135A,"49 Hilder St, Weston ACT 2611, Australia","(-35.336779, 149.058735)"
MOBILE SPEED CAMERA,0039C_2,"158 Longmore Cres, Wanniassa ACT 2903, Australia","(-35.39493, 149.10353)"
MOBILE SPEED CAMERA,0248A,"Upper Freshford, 287 Point Hut Rd, Paddys River ACT 2620, Australia","(-35.45019, 149.046551)"
MOBILE SPEED CAMERA,3041A,"53-55 Burrinjuck Cres, Duffy ACT 2611, Australia","(-35.334808, 149.031851)"
MOBILE SPEED CAMERA,0252A,"30 Don Dunstan Dr, Bonython ACT 2905, Australia","(-35.428724, 149.072429)"
MOBILE SPEED CAMERA,0002K,"363 Antill St, Watson ACT 2602, Australia","(-35.23181, 149.1668)"
MOBILE SPEED CAMERA,0181D,"27 Majura Ave, Dickson ACT 2602, Australia","(-35.25851, 149.13704)"
MOBILE SPEED CAMERA,0231B,"Kings Hwy, Kowen ACT 2620, Australia","(-35.332371, 149.334204)"
MOBILE SPEED CAMERA,0116E,"Ashley Dr, Isabella Plains ACT 2905, Australia","(-35.42675, 149.10343)"
MOBILE SPEED CAMERA,0139E,"60 Captain Cook Cres, Griffith ACT 2603, Australia","(-35.32888, 149.13625)"
MOBILE SPEED CAMERA,0227C,"162 Hoskins St, Franklin ACT 2913, Australia","(-35.203381, 149.139802)"
MOBILE SPEED CAMERA,0108C,"96 Spofforth St, Holt ACT 2615, Australia","(-35.22013, 149.00703)"
MOBILE SPEED CAMERA,0119D,"Horse Park Dr, Gungahlin ACT 2912, Australia","(-35.18217, 149.14868)"
MOBILE SPEED CAMERA,0068G,"Erindale Dr, Canberra ACT 2901, Australia","(-35.39215, 149.10871)"
MOBILE SPEED CAMERA,0098B,"Haydon Dr, Bruce ACT 2617, Australia","(-35.24428, 149.09109)"
MOBILE SPEED CAMERA,0004Z,"Belconnen Way, Bruce ACT 2617, Australia","(-35.25994, 149.09585)"
MOBILE SPEED CAMERA,0102D,"Fairbairn Ave, Campbell ACT 2612, Australia","(-35.28302, 149.15418)"
MOBILE SPEED CAMERA,0052A,"93 Novar St, Yarralumla ACT 2600, Australia","(-35.30199, 149.09835)"
MOBILE SPEED CAMERA,0039D,"200 Longmore Cres, Wanniassa ACT 2903, Australia","(-35.39925, 149.1015)"
MOBILE SPEED CAMERA,0153B,"67 Warragamba Ave, Duffy ACT 2611, Australia","(-35.3309, 149.0314)"
MOBILE SPEED CAMERA,0144B,"157 Boddington Cres, Kambah ACT 2902, Australia","(-35.38949, 149.05605)"
MOBILE SPEED CAMERA,0152D,"142 Dixon Dr, Holder ACT 2611, Australia","(-35.3295, 149.04562)"
MOBILE SPEED CAMERA,0116C,"Ashley Dr, Monash ACT 2904, Australia","(-35.41527, 149.10204)"
MOBILE SPEED CAMERA,0234A,"113 Nullarbor Ave, Harrison ACT 2914, Australia","(-35.201173, 149.159284)"
MOBILE SPEED CAMERA,0157A,"44 Tom Roberts Ave, Conder ACT 2906, Australia","(-35.46142, 149.10369)"
MOBILE SPEED CAMERA,0020W,"Philmanda Park, 10494 Monaro Hwy, Jerrabomberra NSW 2619, Australia","(-35.3556, 149.16504)"
MOBILE SPEED CAMERA,0086A,"Bindubi St, Cook ACT 2614, Australia","(-35.25868, 149.07329)"
MOBILE SPEED CAMERA,3048A,"29-33 Blamey Cres, Campbell ACT 2612, Australia","(-35.285675, 149.146929)"
MOBILE SPEED CAMERA,0115F,"Isabella Dr, Monash ACT 2904, Australia","(-35.42277, 149.08225)"
MOBILE SPEED CAMERA,0069E,"Erindale Dr, Monash ACT 2904, Australia","(-35.40655, 149.09677)"
MOBILE SPEED CAMERA,0228A,"Well Station Dr, Mitchell ACT 2911, Australia","(-35.20713, 149.135799)"
MOBILE SPEED CAMERA,0068F,"Erindale Dr, Canberra ACT 2901, Australia","(-35.38961, 149.11289)"
MOBILE SPEED CAMERA,0044B,"62 Tillyard Dr, Flynn ACT 2615, Australia","(-35.20313, 149.03994)"
MOBILE SPEED CAMERA,0061E,"Barton Hwy, Crace ACT 2911, Australia","(-35.20754, 149.10409)"
MOBILE SPEED CAMERA,0072L,"8686 Monaro Hwy, Theodore ACT 2905, Australia","(-35.487751, 149.149579)"
MOBILE SPEED CAMERA,0070B,"The Bicentennial National Trail, Australian Capital Territory 2615, Australia","(-35.18874, 149.07158)"
MOBILE SPEED CAMERA,3003A,"76-88 Mapleton Ave, Harrison ACT 2914, Australia","(-35.194354, 149.15427)"
MOBILE SPEED CAMERA,0082B,"William Hovell Dr, Australian Capital Territory 2615, Australia","(-35.2648, 149.0333)"
MOBILE SPEED CAMERA,0270A,"36 Girrahween St, Braddon ACT 2612, Australia","(-35.270707, 149.136787)"
MOBILE SPEED CAMERA,0144D,"109 Boddington Cres, Kambah ACT 2902, Australia","(-35.38846, 149.05091)"
MOBILE SPEED CAMERA,0115H,"Isabella Dr, Monash ACT 2904, Australia","(-35.42112, 149.09974)"
MOBILE SPEED CAMERA,0236B,"50 The Valley Ave, Gungahlin ACT 2912, Australia","(-35.186551, 149.127726)"
MOBILE SPEED CAMERA,0059B,"86B Belconnen Way, Page ACT 2614, Australia","(-35.24206, 149.04431)"
MOBILE SPEED CAMERA,0159D,"93 Arthur Cir, Forrest ACT 2603, Australia","(-35.31763, 149.12304)"
MOBILE SPEED CAMERA,0080B,"Kings Ave, Parkes ACT 2600, Australia","(-35.300604, 149.144038)"
MOBILE SPEED CAMERA,0198B,"College St, Bruce ACT 2617, Australia","(-35.24232, 149.0781)"
MOBILE SPEED CAMERA,0086C,"Bindubi St, Cook ACT 2614, Australia","(-35.27018, 149.07519)"
MOBILE SPEED CAMERA,0093C,"Southern Cross Dr, Florey ACT 2615, Australia","(-35.22915, 149.04283)"
MOBILE SPEED CAMERA,0252B,"32 Don Dunstan Dr, Bonython ACT 2905, Australia","(-35.428984, 149.072333)"
MOBILE SPEED CAMERA,0119A,"Horse Park Dr, Australian Capital Territory 2914, Australia","(-35.21194, 149.17588)"
MOBILE SPEED CAMERA,0002O,"170 Antill St, Downer ACT 2602, Australia","(-35.24812, 149.14928)"
MOBILE SPEED CAMERA,0012G,"Gungahlin Dr, Gungahlin ACT 2912, Australia","(-35.20089, 149.13212)"
MOBILE SPEED CAMERA,0183B,"59 Coyne St, MacArthur ACT 2904, Australia","(-35.40908, 149.12826)"
MOBILE SPEED CAMERA,0216B,"John Cleland Cres, Florey ACT 2615, Australia","(-35.22387, 149.05517)"
MOBILE SPEED CAMERA,0248B,"Upper Freshford, 287 Point Hut Rd, Paddys River ACT 2620, Australia","(-35.44752, 149.063152)"
MOBILE SPEED CAMERA,3022A,"61-67 Launceston St, Lyons ACT 2606, Australia","(-35.341047, 149.076029)"
MOBILE SPEED CAMERA,0075F,"Parkes Way, Parkes ACT 2600, Australia","(-35.2941, 149.14443)"
MOBILE SPEED CAMERA,0081A,"121 William Hovell Dr, Molonglo Valley ACT 2611, Australia","(-35.2763, 149.07042)"
MOBILE SPEED CAMERA,0265A,"34 Bunbury St, Stirling ACT 2611, Australia","(-35.347685, 149.052099)"
MOBILE SPEED CAMERA,0039B,"132 Longmore Cres, Wanniassa ACT 2903, Australia","(-35.39204, 149.10177)"
MOBILE SPEED CAMERA,0159B,"73 Arthur Cir, Forrest ACT 2603, Australia","(-35.32121, 149.12196)"
MOBILE SPEED CAMERA,0228D,"Well Station Dr, Harrison ACT 2914, Australia","(-35.209375, 149.153774)"
MOBILE SPEED CAMERA,0260A,"77 Overall Ave, Casey ACT 2913, Australia","(-35.171832, 149.092249)"
MOBILE SPEED CAMERA,0018B,"152-158 Melrose Dr, Phillip ACT 2606, Australia","(-35.35373, 149.08592)"
MOBILE SPEED CAMERA,0178J,"Kianga, 144 Flemington Rd, Harrison ACT 2914, Australia","(-35.20377, 149.14863)"
MOBILE SPEED CAMERA,3047A,"25 Chauvel St, Campbell ACT 2612, Australia","(-35.290995, 149.155772)"
MOBILE SPEED CAMERA,0106A,"175 William Webb Dr, McKellar ACT 2617, Australia","(-35.22043, 149.07001)"
MOBILE SPEED CAMERA,0099E,"Yamba Dr, Hughes ACT 2605, Australia","(-35.34038, 149.09318)"
MOBILE SPEED CAMERA,0111C,"96 Limestone Ave, Ainslie ACT 2602, Australia","(-35.26754, 149.13846)"
MOBILE SPEED CAMERA,0269A,"60 Torrens St, Braddon ACT 2612, Australia","(-35.26887, 149.134924)"
MOBILE SPEED CAMERA,0027E,"Yamba Dr, Mawson ACT 2607, Australia","(-35.36973, 149.10951)"
MOBILE SPEED CAMERA,0231A,"6391 Kings Hwy, Kowen ACT 2620, Australia","(-35.334123, 149.326102)"
MOBILE SPEED CAMERA,0062D,"Drakeford Dr, Wanniassa ACT 2903, Australia","(-35.40005, 149.07374)"
MOBILE SPEED CAMERA,3061A,"72 Namatjira Dr, Stirling ACT 2611, Australia","(-35.351858, 149.054001)"
MOBILE SPEED CAMERA,0148A,"33-35 Troughton St, Banks ACT 2906, Australia","(-35.4723, 149.10119)"
RED LIGHT AND SPEED CAMERA,1023,CANBERRA AVENUE/HINDMARSH DRIVE/NEWCASTLE STREET,"(-35.33802, 149.176871)"
